sample_idx,dataset,stage,image_id,base_dice,base_iou,failure70,failure80,severe50,sprc_cb_score,sprc_pp_r_score,sam_confidence_risk,mask_iou_disagreement,linear_sprc_score
27,Kvasir-SEG,stage1_id,cju2mfjndoz700988b9lc3zeq,0.9624707416309342,0.927656481846008,0,0,0,0.142361111111111,0.2401851851851851,-0.9940162897109984,0.0034814277090436,-0.2872525758358367
28,Kvasir-SEG,stage1_id,cju2nd7l7z98o0799gfjvyfmw,0.9536652848292896,0.9114342389697928,0,0,0,0.6031944444444445,0.8324074074074074,-0.9706625938415528,0.1228219716936431,0.6740444562030181
29,Kvasir-SEG,stage1_id,cju2nsmwjlzyl0993jl80chvz,0.9554780097467196,0.9147514544093572,0,0,0,0.2555555555555555,0.3844444444444444,-0.9878972768783568,0.0038049224458526,-0.4317753114270674
30,Kvasir-SEG,stage1_id,cju2oi8sq0i2y0801mektzvw8,0.0039304494180277,0.0019690944220305,1,1,1,0.9576388888888888,0.9598148148148148,-0.7826564311981201,0.5600140449987527,4.069644055400744
31,Kvasir-SEG,stage1_id,cju2qfie4rvz508357kad9z5o,0.9434634007405378,0.8929774902278224,0,0,0,0.6404166666666666,0.633888888888889,-0.9516541361808776,0.0454301950155798,-0.031992252455987
32,Kvasir-SEG,stage1_id,cju2qozsk20cq0855ugrg3cri,0.9270409702961864,0.8640040715740213,0,0,0,0.47,0.8037037037037037,-0.9845410585403442,0.0095749421462367,-0.1597155473801662
33,Kvasir-SEG,stage1_id,cju2ricdv2iys0878sv1adh0u,0.919467531539126,0.850939290004706,0,0,0,0.8073611111111112,0.8277777777777778,-0.8887084126472473,0.0995324599912673,1.7185801696820096
34,Kvasir-SEG,stage1_id,cju2rmd2rsw9g09888hh1efu0,0.8563419761741268,0.7487745098049478,0,0,0,0.6697222222222223,0.6529629629629629,-0.9533244371414183,0.037635232301748,-0.1149003548522667
35,Kvasir-SEG,stage1_id,cju2rnkt22xep0801as160g9t,0.4432421667553627,0.2847213338453436,1,1,1,0.9718055555555556,0.9720370370370373,-0.803732693195343,0.3845927562668984,2.331646505021188
36,Kvasir-SEG,stage1_id,cju2rpa30t07b0835im0erql0,0.957629974571864,0.9187044439219616,0,0,0,0.2374999999999999,0.3272222222222222,-0.985842227935791,0.0055443790073861,-0.2063776076174154
37,Kvasir-SEG,stage1_id,cju2rxm8rpbaf0993o3qr2oph,0.9060613914911296,0.8282561603033928,0,0,0,0.6994444444444444,0.6703703703703704,-0.9450933337211608,0.0629356784405975,0.0007760907524647
38,Kvasir-SEG,stage1_id,cju2rz4k434s70855wwx3ddtx,0.9002983564041306,0.8186751030582267,0,0,0,0.8797222222222222,0.8648148148148148,-0.8599554300308228,0.1212909556403423,1.9001152012415208
39,Kvasir-SEG,stage1_id,cju2s9g11pnra0993gn4eh793,0.7521052465869272,0.6026992617204939,0,1,0,0.935,0.9422222222222222,-0.7833507657051086,0.1512879586748421,3.117048297452711
40,Kvasir-SEG,stage1_id,cju2sszfq3uye0878sucelzk2,0.8150279966304977,0.6878035888720984,0,0,0,0.684861111111111,0.8533333333333332,-0.9104489088058472,0.1428642917058965,2.473117475129446
41,Kvasir-SEG,stage1_id,cju2t16vuucaq0835xcpsivn2,0.9434847218352505,0.8930156916179979,0,0,0,0.3955555555555555,0.5225925925925926,-0.9747319221496582,0.0080880770742389,-0.1967142455694964
42,Kvasir-SEG,stage1_id,cju2u4pymvc720988wsxrmi84,0.934617691312174,0.8772603822033601,0,0,0,0.5388888888888889,0.5599999999999999,-0.9612742066383362,0.0210321438875679,0.241522612329447
43,Kvasir-SEG,stage1_id,cju2uokeg5jm20799xwgsyz89,0.8554040826748823,0.7473415462410045,0,0,0,0.8075,0.8492592592592593,-0.9325292706489564,0.1104648142280184,1.0545656776824264
44,Kvasir-SEG,stage1_id,cju2xd75m82720801q4s4ik3n,0.9660351507830122,0.9343017332886938,0,0,0,0.2952777777777777,0.4883333333333333,-0.9883893728256226,0.0050300868891739,-0.1443223590452256
45,Kvasir-SEG,stage1_id,cju2xjz2ju8pe0993ysv9wg17,0.9601280558789332,0.9233137419535558,0,0,0,0.4497222222222222,0.4455555555555555,-0.9523990750312804,0.0065354823786891,-0.3325333226856913
