eval_group,set,target,method,n,pos,auprc,auroc,failure_rate,mean_dice,noise,diff_vs_sam_auprc,diff_ci_low,diff_ci_high,diff_p
noise=0.00,pooled_heldout,severe_failure,Mask IoU disag.,525,11,0.2539446495554797,0.9186416696144323,0.02095238095238095,0.8926362754857672,0.0,,,,
noise=0.00,pooled_heldout,severe_failure,SPRC no-conf top2,525,11,0.3066571012425169,0.9296073576229219,0.02095238095238095,0.8926362754857672,0.0,,,,
noise=0.00,CVC-ClinicDB,severe_failure,SPRC-CB,150,2,0.14347826086956522,0.9155405405405405,0.013333333333333334,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,severe_failure,SAM IoU min,150,2,0.14627659574468085,0.8378378378378378,0.013333333333333334,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,severe_failure,Prompt-pert. unc.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,severe_failure,Mask IoU disag.,150,2,0.5625,0.9527027027027026,0.013333333333333334,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ClinicDB,severe_failure,SPRC no-conf top2,150,2,0.13247863247863248,0.9358108108108109,0.013333333333333334,0.8886431308238336,0.0,,,,
noise=0.00,CVC-ColonDB,severe_failure,SPRC-CB,150,1,0.022727272727272728,0.7114093959731543,0.006666666666666667,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,severe_failure,SAM IoU min,150,1,0.02857142857142857,0.7718120805369127,0.006666666666666667,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,severe_failure,Prompt-pert. unc.,150,1,0.012987012987012988,0.4899328859060402,0.006666666666666667,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,severe_failure,Mask IoU disag.,150,1,0.013157894736842105,0.49664429530201337,0.006666666666666667,0.8936195080922801,0.0,,,,
noise=0.00,CVC-ColonDB,severe_failure,SPRC no-conf top2,150,1,0.011363636363636364,0.4161073825503355,0.006666666666666667,0.8936195080922801,0.0,,,,
noise=0.00,ETIS-Larib,severe_failure,SPRC-CB,150,4,0.7708333333333333,0.9931506849315068,0.02666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,severe_failure,SAM IoU min,150,4,0.6071428571428571,0.9777397260273972,0.02666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,severe_failure,Prompt-pert. unc.,150,4,0.8041666666666667,0.9948630136986301,0.02666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,severe_failure,Mask IoU disag.,150,4,0.6791666666666667,0.9931506849315068,0.02666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,ETIS-Larib,severe_failure,SPRC no-conf top2,150,4,0.6416666666666666,0.9828767123287672,0.02666666666666667,0.9116012223285692,0.0,,,,
noise=0.00,Kvasir-SEG,severe_failure,SPRC-CB,75,4,0.48333333333333334,0.9647887323943661,0.05333333333333334,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,severe_failure,SAM IoU min,75,4,0.525,0.971830985915493,0.05333333333333334,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,severe_failure,Prompt-pert. unc.,75,4,0.3706709956709957,0.9330985915492958,0.05333333333333334,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,severe_failure,Mask IoU disag.,75,4,0.3742424242424242,0.9330985915492958,0.05333333333333334,0.8607262059110043,0.0,,,,
noise=0.00,Kvasir-SEG,severe_failure,SPRC no-conf top2,75,4,0.475,0.9507042253521126,0.05333333333333334,0.8607262059110043,0.0,,,,
noise=0.05,pooled_heldout,failure,SPRC-CB,525,27,0.44795372201970945,0.9342555406812435,0.05142857142857143,0.8901353750795116,0.05,0.08277150429349353,-0.012239999265285333,0.19089081001989275,0.076
noise=0.05,pooled_heldout,failure,SAM IoU min,525,27,0.37141367703803646,0.9074817789677228,0.05142857142857143,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure,Prompt-pert. unc.,525,27,0.25836972901827077,0.8850215677524914,0.05142857142857143,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure,Mask IoU disag.,525,27,0.27151284373836826,0.8862115127175367,0.05142857142857143,0.8901353750795116,0.05,,,,
noise=0.05,pooled_heldout,failure,SPRC no-conf top2,525,27,0.4500871038567816,0.9206455451435371,0.05142857142857143,0.8901353750795116,0.05,,,,
noise=0.05,CVC-ClinicDB,failure,SPRC-CB,150,9,0.26536290220500747,0.900709219858156,0.06,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure,SAM IoU min,150,9,0.21144878091500408,0.8203309692671394,0.06,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure,Prompt-pert. unc.,150,9,0.23818542555340744,0.8841607565011821,0.06,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure,Mask IoU disag.,150,9,0.2374619084202373,0.8810086682427108,0.06,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ClinicDB,failure,SPRC no-conf top2,150,9,0.2686270227218503,0.9054373522458629,0.06,0.8855293146893662,0.05,,,,
noise=0.05,CVC-ColonDB,failure,SPRC-CB,150,3,0.37438423645320196,0.8163265306122449,0.02,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure,SAM IoU min,150,3,0.38002980625931443,0.8231292517006803,0.02,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure,Prompt-pert. unc.,150,3,0.08260214081109603,0.7233560090702947,0.02,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure,Mask IoU disag.,150,3,0.0941638608305275,0.7301587301587301,0.02,0.8918060624839942,0.05,,,,
noise=0.05,CVC-ColonDB,failure,SPRC no-conf top2,150,3,0.3643907064959696,0.7573696145124718,0.02,0.8918060624839942,0.05,,,,
noise=0.05,ETIS-Larib,failure,SPRC-CB,150,6,0.7564745196324144,0.9583333333333334,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure,SAM IoU min,150,6,0.723087098087098,0.9826388888888888,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure,Prompt-pert. unc.,150,6,0.6952482702482702,0.8946759259259259,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure,Mask IoU disag.,150,6,0.7818223443223443,0.8981481481481481,0.04,0.9093480040239638,0.05,,,,
noise=0.05,ETIS-Larib,failure,SPRC no-conf top2,150,6,0.7980599647266313,0.9108796296296297,0.04,0.9093480040239638,0.05,,,,
noise=0.05,Kvasir-SEG,failure,SPRC-CB,75,9,0.671957671957672,0.9595959595959596,0.12,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure,SAM IoU min,75,9,0.6595959595959596,0.9444444444444444,0.12,0.8575808631619324,0.05,,,,
noise=0.05,Kvasir-SEG,failure,Prompt-pert. unc.,75,9,0.48480901814235144,0.9208754208754208,0.12,0.8575808631619324,0.05,,,,
